dt,equity
2022-05-26T00:00:00,99970.227833
2022-05-27T00:00:00,99969.117530
2022-05-30T00:00:00,99970.280796
2022-05-31T00:00:00,99971.548196
2022-06-01T00:00:00,99970.752896
2022-06-02T00:00:00,99972.319796
2022-06-03T00:00:00,99973.365896
2022-06-06T00:00:00,99972.775296
2022-06-07T00:00:00,99971.611496
2022-06-08T00:00:00,99971.931096
2022-06-09T00:00:00,99973.069696
2022-06-10T00:00:00,99972.627196
2022-06-13T00:00:00,99972.473896
2022-06-14T00:00:00,99972.350196
2022-06-15T00:00:00,99973.383796
2022-06-16T00:00:00,99973.866096
2022-06-17T00:00:00,99975.400596
2022-06-20T00:00:00,99976.130096
2022-06-21T00:00:00,99977.090696
2022-06-22T00:00:00,99978.460396
2022-06-23T00:00:00,99979.677096
2022-06-24T00:00:00,99979.618996
2022-06-27T00:00:00,99981.746996
2022-06-28T00:00:00,99983.912696
2022-06-29T00:00:00,99983.779096
2022-06-30T00:00:00,99982.826296
2022-07-01T00:00:00,99981.728196
2022-07-04T00:00:00,99981.940996
2022-07-05T00:00:00,99980.659396
2022-07-06T00:00:00,99979.006296
2022-07-07T00:00:00,99980.326296
2022-07-08T00:00:00,99979.630396
2022-07-11T00:00:00,99979.018796
2022-07-12T00:00:00,99978.368696
2022-07-13T00:00:00,99980.397096
2022-07-14T00:00:00,99979.930998
2022-07-15T00:00:00,99981.160598
2022-07-18T00:00:00,99980.738498
2022-07-19T00:00:00,99981.433598
2022-07-20T00:00:00,99980.417998
2022-07-21T00:00:00,99978.293641
2022-07-22T00:00:00,99978.337845
2022-07-25T00:00:00,99981.245645
2022-07-26T00:00:00,99981.565945
2022-07-27T00:00:00,99981.700045
2022-07-28T00:00:00,99981.533445
2022-07-29T00:00:00,99981.564545
2022-08-01T00:00:00,99981.320745
2022-08-02T00:00:00,99979.227145
2022-08-03T00:00:00,99978.668345
2022-08-04T00:00:00,99980.988045
2022-08-05T00:00:00,99980.883245
2022-08-08T00:00:00,99979.080278
2022-08-09T00:00:00,99978.424344
2022-08-10T00:00:00,99979.365044
2022-08-11T00:00:00,99980.319844
2022-08-12T00:00:00,99981.276244
2022-08-15T00:00:00,99981.420744
2022-08-16T00:00:00,99981.114144
2022-08-17T00:00:00,99979.332044
2022-08-18T00:00:00,99979.964844
2022-08-19T00:00:00,99980.917444
2022-08-22T00:00:00,99979.115244
2022-08-23T00:00:00,99980.556044
2022-08-24T00:00:00,99980.781944
2022-08-25T00:00:00,99978.214744
2022-08-26T00:00:00,99979.182844
2022-08-29T00:00:00,99981.548244
2022-08-30T00:00:00,99980.614773
2022-08-31T00:00:00,99980.242653
2022-09-01T00:00:00,99979.245653
2022-09-02T00:00:00,99979.300453
2022-09-05T00:00:00,99977.509723
2022-09-06T00:00:00,99976.467646
2022-09-07T00:00:00,99975.713946
2022-09-08T00:00:00,99976.812446
2022-09-09T00:00:00,99978.438546
2022-09-12T00:00:00,99978.131946
2022-09-13T00:00:00,99978.743546
2022-09-14T00:00:00,99980.047646
2022-09-15T00:00:00,99978.047246
2022-09-16T00:00:00,99977.486371
2022-09-19T00:00:00,99977.044116
2022-09-20T00:00:00,99977.001316
2022-09-21T00:00:00,99977.173116
2022-09-22T00:00:00,99976.941316
2022-09-23T00:00:00,99976.872316
2022-09-26T00:00:00,99977.140516
2022-09-27T00:00:00,99977.502616
2022-09-28T00:00:00,99977.403616
2022-09-29T00:00:00,99977.577816
2022-09-30T00:00:00,99977.541316
2022-10-03T00:00:00,99977.255116
2022-10-04T00:00:00,99976.993716
2022-10-05T00:00:00,99977.203316
2022-10-06T00:00:00,99977.242416
2022-10-07T00:00:00,99977.569916
2022-10-10T00:00:00,99976.973016
2022-10-11T00:00:00,99976.424551
2022-10-12T00:00:00,99976.224983
2022-10-13T00:00:00,99976.260983
2022-10-14T00:00:00,99976.656383
2022-10-17T00:00:00,99976.803383
2022-10-18T00:00:00,99976.839283
2022-10-19T00:00:00,99976.278983
2022-10-20T00:00:00,99976.756883
2022-10-21T00:00:00,99977.069983
2022-10-24T00:00:00,99977.042283
2022-10-25T00:00:00,99977.095683
2022-10-26T00:00:00,99977.410583
2022-10-27T00:00:00,99977.117783
2022-10-28T00:00:00,99977.390583
